E,NC,1
F#,m,16
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,8
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,4
D,M,4
A,M,4
E,M,4
F#,m,8
